"x","y"
"1231545600000","1.0652200634920637e-7"
"1231804800000","0.0000017043521015873019"
"1232064000000","0.0000043176919906878315"
"1232323200000","0.0000055533472643386245"
"1232582400000","0.000005681173671957674"
"1232841600000","0.000005610159001058201"
"1233100800000","0.000006156971966984127"
"1233360000000","0.0000068032054721693124"
"1233619200000","0.0000058303044808465595"
"1233878400000","0.000006199580769523809"
"1234137600000","0.000006362914512592591"
"1234396800000","0.000006362914512592591"
"1234656000000","0.0000064126247822222205"
"1234915200000","0.000006227986637883597"
"1235174400000","0.0000061995807695238085"
"1235433600000","0.000005858710349206349"
"1235692800000","0.000005539144330158728"
"1235952000000","0.000005340303251640207"
"1236211200000","0.0000052763900478306835"
"1236470400000","0.0000053758105870899445"
"1236729600000","0.000005475231126349206"
"1236988800000","0.000005546245797248677"
"1237248000000","0.000005695376606137565"
"1237507200000","0.000005809000079576719"
"1237766400000","0.000005446825257989416"
"1238025600000","0.000005432622323809521"
"1238284800000","0.0000056101590010582"
"1238544000000","0.000005737985408677249"
"1238803200000","0.000005745086875767196"
"1239062400000","0.000005752188342857143"
"1239321600000","0.000005482332593439152"
"1239580800000","0.0000053758105870899445"
"1239840000000","0.000005631463402328041"
"1240099200000","0.000005887116217566137"
"1240358400000","0.000005901319151746031"
"1240617600000","0.000005645666336507936"
"1240876800000","0.000005489434060529098"
"1241136000000","0.000005830304480846558"
"1241395200000","0.000005943927954285711"
"1241654400000","0.000006270595440423277"
"1241913600000","0.000005958130888465606"
"1242172800000","0.0000055320428630687815"
"1242432000000","0.0000056101590010582"
"1242691200000","0.000006256392506243384"
"1242950400000","0.0000056740722048677226"
"1243209600000","0.000004282184655238092"
"1243468800000","0.000004438416931216929"
"1243728000000","0.000005390013521269838"
"1243987200000","0.000005098853370582007"
"1244246400000","0.000004097546510899468"
"1244505600000","0.0000027198618954497317"
"1244764800000","0.000003032326447407403"
"1245024000000","0.000004097546510899466"
"1245283200000","0.000003976821570370366"
"1245542400000","0.000003934212767830683"
"1245801600000","0.000003976821570370366"
"1246060800000","0.000003998125971640207"
"1246320000000","0.000003806386360211637"
"1246579200000","0.000003856096629841267"
"1246838400000","0.000004047836241269838"
"1247097600000","0.000003955517169100526"
"1247356800000","0.0000039768215703703676"
"1247616000000","0.000003905806899470895"
"1247875200000","0.000003465515939894175"
"1248134400000","0.000002712760428359783"
"1248393600000","0.00000286899270433862"
"1248652800000","0.000003018123513227508"
"1248912000000","0.0000024642090802116362"
"1249171200000","0.0000014344963521693078"
"1249430400000","0.0000013066699445502603"
"1249689600000","0.0000027482677638095184"
"1249948800000","0.000004125952379259253"
"1250208000000","0.0000039200098336507866"
"1250467200000","0.0000029968191119576667"
"1250726400000","0.0000017469609041269802"
"1250985600000","8.095672482539633e-7"
"1251244800000","9.800024584126935e-7"
"1251504000000","0.0000015552212926984078"
"1251763200000","0.000003252471927195763"
"1252022400000","0.00000382058929439153"
"1252281600000","0.0000036004438146031685"
"1252540800000","0.000003323486598095234"
"1252800000000","0.0000033660954006349157"
"1253059200000","0.000003302182196825392"
"1253318400000","0.00000355073354497354"
"1253577600000","0.0000035649364791534343"
"1253836800000","0.000003181457256296291"
"1254096000000","0.0000035507335449735397"
"1254355200000","0.000004424213997037033"
"1254614400000","0.000004012328905820102"
